Step,Agent,Horizon,Chosen_Action,Sample_Q
13,3,1,2,[43.35770816 45.49999799 37.92147101 36.57890896 49.9999999 ]
13,3,2,2,[43.11967575 45.49999777 37.5862241  36.20198898 49.99999989]
13,3,3,2,[42.85519529 45.49999754 37.35244737 36.03323605 49.99999988]
13,3,4,2,[42.78355033 45.49999728 37.09991502 35.85319248 49.99999986]
13,3,5,2,[42.70394483 45.499997   37.04956749 35.88365483 49.99999985]
13,3,6,2,[42.72660538 45.49999668 36.99081044 35.91498299 49.99999983]
14,1,1,2,[-59.79237901 -11.79237901 -11.7923789  -31.15282625 -33.19382017]
14,1,2,2,[-59.65063219 -11.65063219 -11.65063206 -31.1835243  -33.22057416]
14,1,3,2,[-59.50817306 -11.50817306 -11.50817292 -31.19152346 -33.2132596 ]
14,1,4,2,[-59.36499807 -11.36499807 -11.36499791 -31.18591293 -33.19999506]
14,1,5,2,[-59.2211036  -11.2211036  -11.22110343 -31.16398228 -33.17917186]
14,1,6,2,[-59.07648605 -11.07648605 -11.07648586 -31.14613296 -33.16063846]
14,2,1,3,[18.02055167 12.72006338 20.16555826 23.69500918 20.14459882]
14,2,2,3,[17.78694808 12.37242103 20.17028873 23.2873516  20.14700046]
14,2,3,3,[17.53550865 12.23551673 20.18366494 23.21042409 20.15778908]
14,2,4,3,[17.4865464  12.08923788 20.20672005 23.1328094  20.1779691 ]
14,2,5,3,[17.42868205 12.04466797 20.228875   23.16560581 20.19692949]
14,2,6,3,[17.47202353 11.9913966  20.25001569 23.19853552 20.21452069]
14,3,1,2,[43.30836458 45.49999978 37.88184374 36.46736505 49.99999999]
14,3,2,2,[43.06484954 45.49999976 37.53926712 36.08463509 49.99999999]
14,3,3,2,[42.79427726 45.49999973 37.29702108 35.91015816 49.99999999]
14,3,4,2,[42.71586363 45.4999997  37.03471706 35.7245674  49.99999999]
14,3,5,2,[42.62873736 45.49999967 36.97311065 35.74976934 49.99999998]
14,3,6,2,[42.64304152 45.49999963 36.90139767 35.77625606 49.99999998]
15,1,1,2,[-61.96630857 -13.96630857 -13.96630855 -31.13011303 -33.2001376 ]
